colocação,título_brasileiro,título_original,distribuidora,renda,publico,salas_abertura,estreia
130,A cura,A Cure for Wellness,Fox,1473430,107471,203,2017-02-16
131,Rock Dog - No faro do sucesso,Rock dog,Paris,1443740,106510,323,2017-04-05
132,"Eu, Daniel Blake","I, Daniel Blake",Imovision,1404010,91545,24,2017-05-01
133,O que será de nozes 2,The Nut Job 2: Nutty by nature,Diamond Films,1398480,110551,226,2017-09-14
134,O cidadão ilustre,El ciudadano ilustre,Cineart Filmes,1277530,80561,64,2017-11-05
135,Capitão fantástico,Captain fantastic,Universal,1269040,73934,46,2016-12-22
136,Fome de poder,The founder,Diamond Films,1237020,65084,114,2017-09-03
137,O dia do atentado,Patriots day,Paris,1203660,64421,131,2017-11-05
138,Silêncio,Silence,Imagem,1199040,70422,121,2017-09-03
139,"Gostosas, lindas e sexies","Gostosas, lindas e sexies",DTF/Paris,1191140,84865,174,2017-04-20
140,O rastro,"Rastro, O",Imagem,1187520,90486,327,2017-05-18
141,Saltimbancos Trapalhões,Saltimbancos Trapalhões,DTF/Paris,1160900,96442,197,2017-01-19
142,Amor.com,Amor.com,H2O Films,1156480,88093,321,2017-01-06
143,Diário de um banana - Caindo na estrada,Diary of a wimpy kid - The long haul,Fox,1122630,76969,82,2017-10-08
144,Norman - Confie em mim,Norman: The moderate rise and tragic fall of a New York fixer,California,1106340,55540,67,2017-04-05
145,"Com amor, Van Gogh",Loving Vicent,Europa,1096220,68964,36,2017-11-30
146,O vendedor de sonhos,"Vendedor de sonhos, O",Warner,986151,80071,384,2016-08-12
147,Boneco de neve,The snowman,Universal,948575,45187,39,2017-11-23
148,Missão cegonha,Richard the stork,Playarte,944759,71162,196,2017-10-26
149,A qualquer custo,Hell or High Water,California,935254,54016,53,2017-02-02
150,Entre irmãs,Entre irmãs,Sony,930632,58194,99,2017-12-10
3,Minions,Minions,Universal,119801000,8921138,1137,2015-06-25
4,Jurassic World - O mundo dos dinossauros,Jurassic World,Universal,90700000,6380062,1056,2015-11-06
5,Cinquenta tons de cinza,Fifty Shades of Grey,Universal,87570600,6686340,1199,2015-12-02
6,Star Wars: Episódio VII - O despertar da força,Star Wars: Episode VII,Disney,74167600,4589744,1504,2015-12-17
7,Jogos Vorazes: A esperança - O final,The Hunger Games - Mockinjay Part 2,Paris,62923300,4344687,1274,2015-11-19
8,Cinderela,Cinderella,Disney,50086600,4200863,927,2015-03-26
9,Bob Esponja - Um herói fora d´água,Sponge Bob Square Pants 2,Paramount,47957700,3719937,796,2015-05-02
10,Loucas pra casar,Loucas pra casar,DTF/Paris,45888600,3779702,605,2015-08-01
11,Divertida mente,The Inside Out,Disney,45751400,3783023,877,2015-06-18
12,Vai que cola - O filme,Vai que cola - O filme,H2O Films,41910200,3317275,637,2015-01-10
13,Hotel Transilvânia 2,Hotel Transylvania 2,Sony,41867700,3277987,1050,2015-09-24
14,Homem-Formiga,Ant-Man,Disney,41765000,2948436,857,2015-07-16
15,Os pinguins de Madagascar,The Penguins of Madagascar,Fox,40465400,3132245,889,2015-01-15
16,Êxodo - Deuses e reis,Exodus - Gods and Kings,Fox,39248000,4183636,932,2014-12-25
17,A série Divergente - Insurgente,Insurgent,Paris,39052200,2817855,836,2015-03-19
18,Missão impossível - Nação secreta,Mission: Impossible 5 - Rogue Nation,Paramount,37066500,2720209,953,2015-08-13
19,O exterminador do futuro - Gênesis,Terminator: Genisys,Paramount,36430400,2471668,1013,2015-02-07
20,O último caçador de bruxas,The last witch hunter,Paris,34508400,2662157,807,2015-10-29
21,Pixels,Pixels,Sony,33704400,2360929,794,2015-07-23
22,Mad Max - Estrada da fúria,Mad Max - Fury Road,Warner,33383300,2266099,980,2015-05-14
23,Meu passado me condena 2,Meu passado me condena 2,DTF/Paris,32972900,2649304,612,2015-02-07
24,Terremoto - A falha de San Andreas,San Andreas,Warner,32785200,2248698,912,2015-05-28
25,007 contra Spectre,Spectre,Sony,31691500,2119691,991,2015-05-11
26,Uma noite no museu 3,Night at the Museum: Secret of the Tomb,Fox,30914200,2708391,617,2015-01-01
27,Perdido em Marte,The Martian,Fox,29027600,1810450,653,2015-01-10
28,O pequeno príncipe,Le petit prince,Paris,28149700,2082556,538,2015-08-20
29,"Carrossel, o filme","Carrossel, o filme",DTF/Paris,27335700,2549410,607,2015-07-23
30,Maze Runner - Prova de fogo,Maze Runner - Scorch Trials,Fox,27285400,2003354,898,2015-09-17
31,Peter Pan,Pan,Warner,26578700,1883218,867,2015-08-10
32,Cada um na sua casa,Home,Fox,23142300,1803708,666,2015-09-04
33,Quarteto fantástico,The Fantastic Four,Fox,22015000,1794082,897,2015-06-08
34,Atividade paranormal 5 - Dimensão fantasma,Paranormal Activity: The Ghost Dimension,Paramount,20424800,1378831,616,2015-10-22
35,Operação Big Hero,Big Hero 6,Disney,20312000,2762285,917,2014-12-25
36,S.O.S Mulheres ao mar 2,S.O.S Mulheres ao mar 2,Univ/Eur/Elo,19790700,1574922,453,2015-10-22
37,Cidades de papel,Paper towns,Fox,19294000,1622878,662,2015-09-07
38,Busca Implacável 3,Taken 3,Fox,19149100,1483062,429,2015-01-22
39,O destino de Júpiter,Jupiter Ascending,Warner,17161700,1246353,543,2015-05-02
40,Alvin e os esquilos - Na estrada,Alvin and the Chipmunks 4,Fox,17117600,1511868,920,2015-12-24
41,Poltergeist - O fenômeno,Poltergeist,Fox,17105300,1246442,642,2015-05-21
42,Sniper americano,American Sniper,Warner,16821900,1175102,203,2015-02-19
43,Golpe duplo,Focus,Warner,16466200,1304636,674,2015-12-03
44,No coração do mar,In the Heart of the Sea,Warner,15312700,1015377,580,2015-03-12
45,Os caras de pau em o misterioso roubo do anel,"Caras de pau em o misterioso roubo do anel, Os",Imagem,14758200,1915491,521,2014-12-25
46,Linda de morrer,Linda de morrer,Fox,12476400,975142,525,2015-08-20
47,Kingsman - Serviço secreto,Kingsmen: The Secret Service,Fox,11587900,894078,439,2015-05-03
48,Até que a sorte nos separe 3,Até que a sorte nos separe 3,DTF/Paris,11499300,925189,818,2015-12-24
49,A teoria de tudo,The Theory Of Everything,Universal,11294100,768404,62,2015-01-29
50,Qualquer gato vira lata 2,Qualquer gato vira lata 2,DTF/Paris,10020700,809534,548,2015-04-06
51,Ted 2,Ted 2,Universal,9454910,745286,556,2015-08-27
