id,título_original,genero,subgenero
692,The Beauty and The Beast 3D,Placeholder,Placeholder
693,Breaking Wind,Horror,Comedy
694,House at the End of the Street,Horror,Thriller
695,Seeking Justice,Action,Drama
696,Diary of a Wimpy Kid: Dog Days,Comedy,Family
697,"Raul Seixas: O início, o fim e o meio",Placeholder,Placeholder
698,The Grey,Drama,Thriller
699,O Diário de Tati,Comedy,Placeholder
700,Killing Them Softly,Crime,Thriller
701,Extremely Loud and Incredibly Close,Drama,Placeholder
702,"Tinker, Tailor, Soldier, Spy",Drama,Thriller
703,360,Drama,Romance
704,Gone,Drama,Thriller
705,Pina,Documentary,Placeholder
706,The Best Exotic Marigold Hotel,Drama,Comedy
707,Bachelorette,Comedy,Romance
708,J. Edgar,Drama,Crime
709,"Beira do caminho, À",Drama,Placeholder
710,The Help,Drama,Placeholder
711,The Watch,Action,Comedy
712,Drive,Drama,Action
713,Lawless,Crime,Drama
714,Magic Mike,Drama,Comedy
715,Dredd,Action,Science Fiction
716,My Week With Marilyn,Drama,Placeholder
717,Reis e ratos,Drama,Comedy
718,Arbitrage,Drama,Thriller
719,Et si on vivait tous ensemble?,Comedy,Drama
720,Moneyball,Drama,Placeholder
721,The Ides of March,Drama,Placeholder
722,Habemus Papam,Drama,Comedy
723,Shame,Drama,Placeholder
724,Carnage,Comedy,Drama
725,Red Lights,Thriller,Placeholder
726,Heleno,Drama,Documentary
727,Haywire,Action,Thriller
728,La delicatesse,Drama,Comedy
729,Alex Cross,Action,Thriller
730,Rock of Ages,Comedy,Drama
731,The Rum Diary,Drama,Comedy
732,"Musica segundo Tom Jobim, A",Documentary,Music
733,El Baile de la Victoria,Drama,Placeholder
734,Tropicália,Music,Documentary
735,Project X,Comedy,Crime
736,Friends with Kids,Comedy,Romance
737,The Perks of Being a Wallflower,Drama,Placeholder
738,Trouble with the Curve,Drama,Romance
739,End of Watch,Crime,Drama
740,Tower Heist,Action,Comedy
741,Like Water,Documentary,Placeholder
742,The Flowers of War,Drama,History
743,RIO,Animation,Adventure
744,THE TWILIGHT SAGA: BREAKING DAWN - PART 1,Adventure,Fantasy
745,HARRY POTTER AND THE DEATHLY HALLOWS - PART 2,Family,Fantasy
746,THE SMURFS,Animation,Family
747,PIRATES OF THE CARIBBEAN - ON STRANGER TIDES,Adventure,Action
748,TANGLED,Animation,Family
749,PUSS IN BOOTS,Action,Adventure
750,TRANSFORMERS: DARK OF THE MOON,Action,Science Fiction
751,CARS 2,Animation,Family
752,FAST FIVE,Action,Thriller
753,CAPTAIN AMERICA: THE FIRST AVENGER,Action,Adventure
754,KUNG FU PANDA 2,Animation,Family
755,THOR,Adventure,Fantasy
756,CILADA.COM,Comedy,Romance
757,DE PERNAS PRO AR,Comedy,Placeholder
758,THE HANGOVER 2,Comedy,Placeholder
759,X-MEN: FIRST CLASS,Action,Science Fiction
760,RISE OF THE PLANET OF THE APES,Thriller,Action
761,BRUNA SURFISTINHA,Drama,Placeholder
762,JUST GO WITH IT,Comedy,Romance
763,ASSALTO AO BANCO CENTRAL,Crime,Drama
764,MR. POPPER'S PENGUINS,Comedy,Family
765,GREEN LANTERN,Adventure,Action
766,THE TOURIST,Action,Thriller
767,THE THREE MUSKETEERS 3D,Placeholder,Placeholder
768,REAL STEEL,Action,Science Fiction
769,BLACK SWAN,Drama,Thriller
770,GNOMEO & JULIET,Animation,Family
771,SEASON OF THE WITCH,Adventure,Fantasy
772,O PALHAÇO,Comedy,Drama
773,GULLIVER'S TRAVELS,Comedy,Adventure
774,MIDNIGHT IN PARIS,Fantasy,Comedy
775,YOGI BEAR 3D,Comedy,Family
776,FRIENDS WITH BENEFITS,Romance,Comedy
777,O HOMEM DO FUTURO,Comedy,Fantasy
778,THE KING'S SPEECH,Drama,History
779,ABDUCTION,Thriller,Action
780,QUALQUER GATO VIRA-LATA,Romance,Comedy
781,FINAL DESTINATION 5,Horror,Mystery
782,MISSION IMPOSSIBLE - GHOST PROTOCOL,Action,Thriller
783,PARANORMAL ACTIVITY 3,Horror,Placeholder
784,THE ZOOKEEPER,Drama,History
785,SANCTUM,Action,Thriller
786,CONAN THE BARBARIAN,Adventure,Fantasy
787,LITTLE FOCKERS,Comedy,Romance
788,THE GREEN HORNET,Action,Crime
789,RANGO,Animation,Comedy
790,HAPPY FEET 2,Animation,Comedy
791,SCREAM 4,Horror,Mystery
792,PRIEST,Fantasy,Horror
793,BATTLE: LOS ANGELES,Action,Science Fiction
794,BAD TEACHER,Comedy,Placeholder
795,THE CRONICLES OF NARNIA: THE VOYAGE OF THE DAWN TREADER,Placeholder,Placeholder
796,THE RITE,Drama,Thriller
797,HEREAFTER,Drama,Fantasy
798,VIPS,Drama,Placeholder
799,11-11-11,Documentary,History
800,I AM NUMBER FOUR,Action,Thriller
801,NO STRINGS ATTACHED,Comedy,Romance
802,HOODWINKED 2: HOOD VS EVIL,Placeholder,Placeholder
803,ARTHUR CHRISTMAS,Drama,Animation
804,"BIG MOMMAS: LIKE FATHER, LIKE SON",Crime,Comedy
805,TRON:LEGACY,Placeholder,Placeholder
806,JUSTIN BIEBER: NEVER SAY NEVER,Documentary,Music
807,CONTAGION,Drama,Thriller
808,UNSTOPPABLE,Action,Thriller
809,LA PIEL QUE HABITO,Drama,Horror
810,COWBOYS & ALIENS,Action,Science Fiction
811,HORRIBLE BOSSES,Comedy,Crime
812,AS MÃES DE CHICO XAVIER,Drama,Placeholder
813,SUPER 8,Thriller,Science Fiction
814,IMMORTALS,Fantasy,Action
815,LARRY CROWNE,Comedy,Romance
816,IN TIME,Action,Thriller
817,THE LION KING 3D,Placeholder,Placeholder
818,JOHNNY ENGLISH REBORN,Crime,Adventure
819,THE MUPPETS,Comedy,Family
820,NEW YEAR'S EVE,Comedy,Romance
821,RED HIDING HOOD,Placeholder,Placeholder
822,DRIVE ANGRY,Fantasy,Thriller
823,TOWER HEIST,Action,Comedy
824,THE KILLER ELITE,Crime,Action
825,THE TREE OF LIFE,Drama,Fantasy
826,TRUE GRIT,Drama,Adventure
827,TRESPASS,Crime,Drama
828,KONFERENZ DER TIERE,Animation,Family
829,O FILME DOS ESPÍRITOS,Drama,Placeholder
830,DOLPHIN TALE,Drama,Family
831,LIMITLESS,Thriller,Mystery
832,LOVE AND OTHER DRUGS,Drama,Comedy
833,SOMETHING BORROWED,Comedy,Drama
834,"CRAZY, STUPID, LOVE",Comedy,Drama
835,THE CHANGE UP,Comedy,Placeholder
836,HO,Comedy,Drama
837,UM CUENTO CHINO,Comedy,Placeholder
838,UNKNOWN,Action,Mystery
839,FRIGHT NIGHT,Horror,Comedy
840,DESENROLA,Romance,Comedy
841,DREAM HOUSE,Drama,Thriller
842,THE NEXT THREE DAYS,Romance,Drama
843,APOLLO 18,Horror,Thriller
844,SHARK NIGHT 3D,Horror,Thriller
845,WATER FOR ELEPHANTS,Drama,Romance
846,WE BOUGHT A ZOO,Drama,Comedy
847,MEGAMIND,Animation,Action
848,TOP CAT,Comedy,Animation
849,HALL PASS,Comedy,Romance
850,THE ADJUSTMENT BUREAU,Science Fiction,Thriller
851,127 HOURS,Adventure,Drama
852,THE SOCIAL NETWORK,Drama,Placeholder
853,I DONT KNOW HOW SHE DOES IT,Romance,Comedy
854,SOURCE CODE,Thriller,Science Fiction
855,SUCKER PUNCH,Action,Fantasy
856,THE FIGHTER,Drama,Placeholder
857,ONDE ESTÁ A FELICIDADE?,Placeholder,Placeholder
858,INSIDIOUS,Horror,Thriller
859,MORNING GLORY,Comedy,Drama
860,ACTIVITY: TOKYO NIGHT,Horror,Thriller
861,HOW DO YOU KNOW,Comedy,Drama
862,MELANCHOLIA,Drama,Science Fiction
863,CAPITÃES DA AREIA,Adventure,Drama
864,HARRY POTTER AND THE DEATHLY HALLOWS - PART 1,Adventure,Fantasy
865,SAMMY ADVENTURES,Animation,Family
866,WHAT´S YOUR NUMBER?,Comedy,Romance
867,BRIDESMAIDS,Comedy,Romance
868,ONE DAY,Drama,Romance
869,"NÃO SE PREOCUPE, NADA VAI DAR CERTO",Comedy,Placeholder
870,COPIE CONFORME,Drama,Romance
871,DIARY OF A WIMPY KID: RODRICK RULES,Family,Comedy
872,POTICHE,Comedy,Placeholder
873,MUITA CALMA NESSA HORA,Comedy,Placeholder
874,THE IDES OF MARCH,Drama,Placeholder
875,BLUE VALENTINE,Drama,Romance
876,FAIR GAME,Action,Thriller
877,BIUTIFUL,Drama,Placeholder
878,FAMÍLIA VENDE TUDO,Comedy,Placeholder
879,DONT BE AFRAID OF THE DARK,Fantasy,Horror
880,BRASIL ANIMADO 3D,Animation,Comedy
881,THE LINCOLN LAWYER,Crime,Drama
882,LE GAMIN AU VÉLO,Drama,Placeholder
883,WINNIE THE POOH,Animation,Family
884,A LITTLE BIT OF HEAVEN,Comedy,Drama
885,MEDIANERAS,Drama,Romance
886,LA TÊTE EM FRICHE,Placeholder,Placeholder
887,THE MECHANIC,Action,Thriller
888,THE RESIDENT,Thriller,Mystery
889,FLYPAPER,Mystery,Comedy
890,BURLESQUE,Drama,Romance
891,SOMEWHERE,Comedy,Drama
892,DES HOMMES ET DES DIEUX,Drama,History
