id,título_original,genero,subgenero
158,The Inside Out,Placeholder,Placeholder
159,Vai que cola - O filme,Comedy,Placeholder
160,Hotel Transylvania 2,Animation,Comedy
161,Ant-Man,Science Fiction,Action
162,The Penguins of Madagascar,Animation,Placeholder
163,Exodus - Gods and Kings,Adventure,Drama
164,Insurgent,Action,Adventure
165,Mission: Impossible 5 - Rogue Nation,Action,Placeholder
166,Terminator: Genisys,Science Fiction,Action
167,The last witch hunter,Fantasy,Action
168,Pixels,Action,Comedy
169,Mad Max - Fury Road,Action,Adventure
170,Meu passado me condena 2,Comedy,Romance
171,San Andreas,Action,Drama
172,Spectre,Action,Adventure
173,Night at the Museum: Secret of the Tomb,Adventure,Comedy
174,The Martian,Drama,Adventure
175,Le petit prince,TV Movie,Family
176,"Carrossel, o filme",Comedy,Family
177,Maze Runner - Scorch Trials,Action,Science Fiction
178,Pan,Adventure,Family
179,Home,Fantasy,Comedy
180,The Fantastic Four,Adventure,Fantasy
181,Paranormal Activity: The Ghost Dimension,Horror,Thriller
182,Big Hero 6,Adventure,Family
183,S.O.S Mulheres ao mar 2,Comedy,Romance
184,Paper towns,Drama,Mystery
185,Taken 3,Thriller,Action
186,Jupiter Ascending,Science Fiction,Fantasy
187,Alvin and the Chipmunks 4,Adventure,Animation
188,Poltergeist,Horror,Placeholder
189,American Sniper,War,Action
190,Focus,Romance,Comedy
191,In the Heart of the Sea,Thriller,Drama
192,"Caras de pau em o misterioso roubo do anel, Os",Comedy,Placeholder
193,Linda de morrer,Comedy,Placeholder
194,Kingsmen: The Secret Service,Placeholder,Placeholder
195,Até que a sorte nos separe 3,Comedy,Placeholder
196,The Theory Of Everything,Drama,Romance
197,Qualquer gato vira lata 2,Romance,Comedy
198,Ted 2,Comedy,Placeholder
199,Tomorrowland,Adventure,Family
200,The Intern,Comedy,Placeholder
201,Victor Frankenstein,Drama,Science Fiction
202,TinkerBell and the Legend of the Never Beast,Placeholder,Placeholder
203,The Imitation Game,History,Drama
204,Insidious: Chapter 3,Drama,Horror
205,Sinister 2,Horror,Placeholder
206,The Hobbit - The Battle of the Five Armies,Action,Adventure
207,Everest,Adventure,Drama
208,Goosebumps,Adventure,Horror
209,The Seventh Son,Adventure,Fantasy
210,Bridge of spies,Thriller,Drama
211,Bem casados,Romance,Comedy
212,Que horas ela volta?,Drama,Placeholder
213,Birdman,Drama,Comedy
214,Vacation,Comedy,Placeholder
215,Still Alice,Drama,Placeholder
216,"Love, Rosie",Comedy,Romance
217,Entre abelhas,Comedy,Drama
218,Fury,War,Drama
219,The Man from U.N.C.L.E,Comedy,Action
220,The Lazarus Effect,Thriller,Horror
221,Spy,Action,Comedy
222,Superpai,Comedy,Placeholder
223,Into the woods,Fantasy,Comedy
224,Snow Queen 2,Fantasy,Family
225,Scouts Guide to the Zombie Apocalypse,Comedy,Horror
226,Burnt,Drama,Comedy
227,Chappie,Crime,Action
228,Operações especiais,Action,Thriller
229,The Woman in Black 2 - Angel of Death,Thriller,Horror
230,Dragon Ball Z: Resurrection,Action,Adventure
231,Hitman: Agent 47,Action,Crime
232,The Cobbler,Fantasy,Comedy
233,Crimson Peak,Drama,Fantasy
234,War room,Drama,Romance
235,Do You Believe?,Fantasy,Drama
236,Unbroken,Drama,War
237,Demonic,Thriller,Horror
238,Black Mass,Drama,Crime
239,Run All Night,Action,Drama
240,Irrational Man,Drama,Mystery
241,The Vatican Tapes,Thriller,Horror
242,The secret in their eyes,Crime,Drama
243,Danny Collins,Comedy,Drama
244,The Age of Adaline,Fantasy,Drama
245,Magic Mike XXL,Comedy,Drama
246,The Walk,Adventure,Drama
247,The Transporter Refueled,Thriller,Action
248,Gallows,Horror,Thriller
249,The visit,Horror,Thriller
250,Relatos Salvajes,Drama,Thriller
251,Samba,Drama,Comedy
252,Ricki and the Flash,Comedy,Drama
253,Kidnapping Mr. Heineken,Drama,Action
254,Qu'est-e qu'on a fait a bon dieu?,Comedy,Placeholder
255,Divã a 2,Comedy,Crime
256,Le Sel de La Terre,Documentary,Placeholder
257,Jessabelle,Thriller,Horror
258,Whiplash,Drama,Music
259,Ouija,Horror,Placeholder
260,The gunman,Action,Drama
261,Entrando numa roubada,Drama,Action
262,The Longest Ride,Drama,Romance
263,Woman in Gold,Drama,Placeholder
264,Grace of Monaco,Romance,Drama
265,Aloha,Drama,Comedy
266,Pitch perfect 2,Comedy,Music
267,The Interview,Action,Comedy
268,"Esperança é a última que morre, A",Comedy,Placeholder
269,Wild,Drama,Placeholder
270,Chico - artista brasileiro,Documentary,Placeholder
271,Shaun the sheep,Family,Animation
272,St. Vincent,Comedy,Placeholder
273,The Possession Of Michael King,Horror,Placeholder
274,El clan,Drama,History
275,Mary`s land,Documentary,Comedy
276,Good people,Thriller,Crime
277,While We're Young,Comedy,Drama
278,The gift,Thriller,Mystery
279,The Best exotic Marigold Hotel 2,Placeholder,Placeholder
280,Big eyes,Drama,Placeholder
281,Boyhood,Drama,Placeholder
282,Ida,Drama,Placeholder
283,"Vendedor de passados, O",Drama,Placeholder
284,Los 33,Drama,History
285,Snowpiercer,Action,Science Fiction
