,título_original,genero,subgenero,colocação,título_brasileiro,distribuidora,renda,publico,salas_abertura,estreia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,0-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100
150,Que horas ela volta?,Drama,Placeholder,65,Que horas ela volta?,Pandora,6675440,478859,82,2015-08-27,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,28,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,26,0,51,0,0,0,37,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,26,0,27,0,0,0,0,25,25,54,0,53,75,50,25,100,158,0,12,4,1,4,0,1,0,1
151,Birdman,Drama,Comedy,66,Birdman ou a inesperada virtude da ignorância,Fox,6490480,421973,82,2015-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,51,0,71,0,0,50,0,0,0,69,74,0,49,49,100,172,0,0,0,3,2,1,2,0,1
152,Vacation,Comedy,Placeholder,67,Férias frustradas,Warner,6219450,504327,412,2015-10-09,8,0,0,6,0,0,8,0,0,7,0,0,6,0,8,6,0,0,0,0,0,0,0,0,0,12,13,9,9,6,12,6,0,6,0,8,0,0,6,0,13,8,8,6,0,6,6,0,0,8,12,0,0,15,7,8,17,6,6,6,0,6,8,8,0,6,0,0,0,8,8,0,6,0,6,0,0,8,0,6,0,0,0,0,0,6,0,11,9,19,16,8,6,11,0,6,6,8,9,6,6,0,9,15,0,8,6,8,6,11,6,0,28,9,11,6,6,0,8,8,0,6,6,11,0,8,8,11,5,6,11,6,8,8,0,6,0,0,18,0,8,20,0,8,6,9,8,30,42,17,25,30,38,100,83,53,56,47,14,32,45,31,27,19,35,17,29,62,56,8,11,30,6,12,58,30,14,0,11,11,12,130,29,8,4,3,4,1,0,1,1
153,Still Alice,Drama,Placeholder,68,Para sempre Alice,Diamond,6075830,408152,211,2015-12-03,51,63,26,11,11,22,12,32,35,33,19,20,21,22,31,34,24,20,21,20,25,48,100,49,37,26,28,27,44,67,30,35,27,35,30,32,50,31,18,23,24,29,30,47,24,28,17,24,24,38,52,13,13,20,20,17,16,38,12,12,24,16,20,26,32,24,17,7,12,10,23,36,5,14,13,9,17,25,37,17,9,9,16,10,23,37,7,10,9,12,16,17,28,27,24,10,10,16,26,25,10,10,19,13,15,21,34,19,11,18,8,11,14,26,8,11,11,16,12,12,28,15,9,9,13,15,11,24,20,12,4,12,9,19,23,9,15,15,8,7,17,16,7,9,9,9,10,20,21,22,11,11,0,14,22,26,9,6,6,8,12,10,11,11,19,10,5,9,19,14,6,9,14,14,10,10,22,14,8,8,5,44,68,42,17,5,2,2,0,0,1
154,"Love, Rosie",Comedy,Romance,69,Simplesmente acontece,Imagem,5882600,493861,305,2015-05-03,1,1,2,1,2,2,2,1,1,1,2,3,2,1,1,2,1,1,1,2,1,1,2,1,1,1,3,2,2,1,3,2,1,3,3,2,2,2,2,3,3,2,3,3,2,2,2,4,1,4,2,3,4,6,4,4,2,4,4,6,6,7,6,7,11,8,12,16,15,12,14,11,10,8,9,15,8,8,9,9,9,12,10,8,6,7,8,4,7,8,4,4,4,8,7,21,16,7,6,6,6,6,9,8,7,11,9,10,10,14,17,13,17,15,14,14,23,32,24,54,56,60,71,93,100,53,36,31,34,25,51,50,25,22,23,19,21,39,42,22,15,17,14,15,25,41,17,17,15,16,31,27,22,12,11,10,9,14,20,24,12,9,10,10,11,17,26,17,17,14,11,10,19,23,10,10,8,12,25,19,21,106,41,17,6,3,5,0,1,0,2
155,Entre abelhas,Comedy,Drama,70,Entre abelhas,Imagem,5822430,452082,344,2015-04-30,0,4,9,3,0,0,3,0,0,3,0,3,6,0,4,9,6,0,3,0,3,4,13,0,3,3,3,6,4,4,0,3,3,3,0,0,9,3,0,3,0,0,0,5,3,3,3,3,4,5,0,0,0,0,6,4,0,0,4,0,0,6,0,0,5,3,0,6,3,7,9,0,3,0,0,0,3,4,0,3,0,3,3,3,0,0,0,12,13,14,21,14,8,5,0,6,3,5,8,9,3,6,5,0,7,5,0,4,4,0,3,0,0,4,0,0,0,3,0,8,10,3,4,3,3,6,8,4,3,3,3,3,3,4,0,3,9,7,3,0,4,12,0,0,5,7,5,9,4,0,3,3,7,9,4,4,6,9,15,6,6,8,6,6,9,19,21,3,21,24,23,37,18,18,25,26,41,39,31,37,100,158,10,7,4,1,0,0,0,0,1
156,Fury,War,Drama,71,Corações de ferro,Sony,5792190,440373,233,2015-05-02,3,0,6,2,5,6,6,2,2,2,2,0,3,3,2,2,4,3,5,6,6,0,0,2,2,6,3,9,11,19,23,17,28,14,26,21,14,8,9,14,17,27,12,10,10,9,4,17,12,15,8,20,23,6,13,19,9,12,19,27,17,14,30,14,10,18,13,10,23,16,9,16,11,14,7,29,24,39,20,16,13,7,13,39,12,11,9,8,22,19,34,17,20,30,55,65,91,100,46,37,38,22,40,53,70,81,57,34,37,38,43,55,29,20,20,22,21,31,35,22,8,12,12,12,29,23,13,24,6,9,11,17,21,15,8,7,10,12,35,14,6,14,10,13,7,20,27,11,10,8,11,15,14,26,15,8,7,4,11,24,15,6,7,8,6,12,17,12,10,13,8,6,7,14,24,7,7,10,9,20,25,70,61,27,12,2,4,2,0,1,2
157,The Man from U.N.C.L.E,Comedy,Action,72,O agente da U.N.C.L.E,Warner,5596540,393533,445,2015-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,180,0,0,0,0,0,0,0,0,1
158,The Lazarus Effect,Thriller,Horror,73,Renascida do inferno,Paris,5462770,445963,300,2015-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,4,0,5,4,0,3,0,2,2,0,0,6,3,0,3,2,2,2,8,8,2,4,5,7,14,4,17,20,15,30,59,76,100,99,54,45,50,22,37,54,66,39,23,21,21,13,31,36,22,11,18,17,18,17,36,12,14,6,10,43,35,23,10,17,8,5,9,15,27,7,9,18,7,20,39,30,22,21,12,12,9,21,27,5,7,7,12,26,31,26,129,19,15,8,3,3,1,1,0,2
159,Spy,Action,Comedy,74,A espiã que sabia de menos,Fox,5202520,416769,308,2015-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,24,0,0,0,0,48,72,50,94,72,100,85,0,0,0,0,0,0,0,0,0,24,0,31,33,0,0,0,0,0,0,0,0,0,0,24,0,0,0,23,0,0,0,0,0,31,24,0,0,0,25,34,0,0,24,62,40,69,0,0,24,157,0,10,5,2,0,2,2,1,2
160,Superpai,Comedy,Placeholder,75,Superpai,Universal,5171580,440933,357,2015-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,8,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,24,0,8,8,8,0,0,0,12,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,9,15,13,0,0,0,26,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,8,8,0,0,0,11,25,0,8,0,8,9,0,0,8,0,25,8,9,12,0,8,8,0,9,19,12,35,0,12,23,12,26,23,47,25,37,37,100,154,14,8,3,1,0,0,0,0,1
161,Into the woods,Fantasy,Comedy,76,Caminhos da floresta,Disney,5086020,389086,174,2015-01-29,12,10,5,2,0,0,2,2,0,0,2,0,2,2,2,3,2,0,0,0,0,0,0,3,0,0,0,0,0,7,4,2,2,0,2,0,10,2,0,4,0,0,0,15,0,4,9,2,5,5,2,3,0,2,0,0,2,0,3,2,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,2,3,0,0,0,4,5,15,5,4,7,0,3,2,2,0,2,4,2,0,3,22,16,19,10,4,9,4,5,9,4,4,2,2,9,4,6,10,7,5,5,3,4,3,10,9,4,2,6,4,5,4,3,6,3,5,6,10,6,4,4,4,5,3,2,5,4,3,5,10,17,16,19,17,8,11,6,36,33,34,34,28,25,13,19,21,43,56,60,31,21,52,40,54,61,48,49,32,38,43,55,61,51,48,70,100,141,12,5,8,5,6,3,0,0,1
162,Snow Queen 2,Fantasy,Family,77,O reino gelado 2,California,5040240,404111,346,2015-12-11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,9,6,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,4,0,4,0,0,6,0,0,0,0,0,0,6,0,0,0,4,0,6,6,4,0,4,4,13,0,0,0,0,0,0,4,0,6,0,0,6,0,4,6,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,4,4,0,6,6,0,4,0,4,0,5,5,4,4,4,0,4,5,5,4,4,0,0,0,6,11,10,0,0,6,6,9,21,9,14,17,37,38,64,25,27,33,25,40,59,100,68,23,36,33,9,23,48,40,13,13,12,24,14,29,43,20,33,19,14,25,146,12,9,8,2,1,2,0,0,1
163,Scouts Guide to the Zombie Apocalypse,Comedy,Horror,78,Como sobreviver a um ataque zumbi,Paramount,4946320,398464,249,2015-12-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,7,6,1,0,2,4,3,2,0,2,2,2,6,3,3,7,2,2,1,0,1,0,2,0,2,0,0,0,3,0,0,1,3,1,1,3,3,1,2,2,1,2,2,2,3,0,2,1,3,2,5,8,4,3,1,1,3,6,3,2,3,1,4,6,7,8,7,11,10,6,12,10,10,12,12,9,13,14,16,14,15,18,23,43,88,100,47,27,34,29,51,57,50,31,25,18,18,15,37,37,23,17,13,25,17,29,40,18,19,22,28,33,141,18,9,6,3,2,0,0,1,1
164,Burnt,Drama,Comedy,79,Pegando fogo,Paris,4945880,329658,262,2015-10-12,35,33,51,35,85,56,41,47,43,50,47,66,43,64,50,48,35,51,49,51,22,56,26,44,36,44,36,35,56,48,70,48,57,58,27,56,55,66,48,61,49,26,56,59,39,82,92,68,63,58,32,64,38,56,52,57,43,30,61,32,53,40,62,50,38,43,49,61,56,46,55,34,53,64,64,34,45,22,78,53,78,69,37,33,39,48,62,54,56,49,41,34,47,46,50,50,41,41,65,47,67,46,82,37,50,59,39,70,80,45,56,41,70,39,64,47,48,48,54,43,56,43,52,46,52,56,63,100,43,69,57,63,51,48,52,59,53,74,33,59,65,69,65,90,77,51,48,87,54,56,44,77,36,56,51,56,67,57,71,42,76,72,80,52,59,67,60,44,70,63,60,63,77,42,40,59,75,53,84,67,93,0,0,6,25,48,49,32,12,6,3
165,Chappie,Crime,Action,80,Chappie,Sony,4505110,350606,284,2015-04-16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,6,2,2,4,3,0,0,2,2,0,3,6,5,2,0,0,2,0,0,0,0,2,0,0,0,3,2,2,0,2,0,3,0,0,2,0,2,0,0,9,4,2,0,0,2,0,3,0,2,3,8,0,3,0,2,0,3,0,0,0,0,2,0,0,0,6,19,9,6,2,2,2,3,0,0,0,0,0,2,6,8,10,9,16,19,15,5,5,0,0,2,4,0,5,6,6,3,4,2,3,5,0,0,0,4,4,4,5,3,7,2,6,2,0,6,3,13,7,4,2,6,10,12,16,13,6,6,6,2,11,9,2,6,6,6,11,11,5,7,7,5,8,9,7,17,5,13,10,9,16,16,23,15,14,15,20,34,35,48,29,28,51,100,154,19,3,2,1,1,0,0,0,1
166,Operações especiais,Action,Thriller,81,Operações especiais,DTF/Paris,4431610,360809,313,2015-10-15,7,7,8,6,15,5,5,7,7,0,10,7,5,7,7,7,5,10,20,8,19,7,14,5,5,10,10,8,7,7,5,10,0,5,5,7,13,5,7,15,10,16,14,17,10,12,0,10,6,0,10,5,10,7,5,5,25,7,5,10,0,15,11,7,7,13,5,0,0,10,7,7,15,7,7,5,0,10,7,5,0,7,11,5,7,21,10,14,5,10,5,7,23,5,7,5,10,15,7,10,10,5,5,10,10,0,7,10,9,7,10,0,20,28,5,9,9,12,8,0,13,5,5,0,14,7,0,7,5,14,9,5,10,13,13,5,9,14,5,10,13,7,6,10,19,18,22,25,16,28,14,5,9,12,16,6,7,14,14,16,17,18,16,16,23,18,9,10,15,9,14,12,9,12,8,30,55,39,56,68,100,123,44,9,1,0,2,1,0,0,1
167,The Cobbler,Fantasy,Comedy,85,Trocando os pés,Imagem,3940620,323410,338,2015-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,13,22,22,36,14,12,71,13,9,14,10,23,38,19,0,9,9,10,13,27,0,9,0,9,27,0,12,12,9,9,0,18,0,24,13,20,22,26,26,9,41,49,26,17,18,0,37,25,37,62,17,9,18,10,13,38,18,9,0,9,19,18,12,18,9,18,32,28,66,71,34,38,68,100,129,24,12,8,2,0,3,2,0,1
168,Crimson Peak,Drama,Fantasy,86,A colina escarlate,Universal,3793620,267694,214,2015-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,0,0,7,26,24,23,7,4,3,9,2,4,0,2,0,0,2,3,4,0,2,2,0,0,0,0,5,2,0,0,0,0,0,0,0,2,3,2,0,2,2,4,2,0,3,2,0,2,2,0,2,2,0,2,0,0,0,2,3,2,2,0,0,0,3,2,0,0,0,3,2,0,3,2,0,5,0,2,2,3,2,2,2,5,2,2,3,0,0,2,0,2,2,2,0,4,0,2,3,0,0,2,4,0,0,3,2,0,2,0,2,2,2,2,2,2,0,0,0,2,0,2,5,3,6,4,2,2,2,2,3,4,4,0,0,4,5,3,4,7,2,2,5,5,8,16,22,5,11,15,14,45,54,65,75,55,67,100,166,4,4,0,1,2,2,1,0,1
169,War room,Drama,Romance,87,Quarto de guerra,Canzion,3773090,295761,55,2015-03-12,0,0,0,35,0,0,0,0,49,35,35,35,0,0,46,48,0,0,0,36,0,0,0,34,36,36,0,38,0,0,0,0,0,36,0,0,50,0,0,0,0,0,0,0,71,0,0,36,39,0,0,0,0,0,0,0,0,50,0,0,0,35,0,0,0,0,38,73,38,38,0,0,0,0,0,0,0,47,0,0,35,36,0,0,0,0,37,36,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,57,0,0,0,0,0,0,0,36,36,0,36,38,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,37,0,0,0,0,0,35,0,0,100,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,36,0,48,0,34,0,0,0,0,47,0,34,0,35,134,0,0,33,9,2,0,2,0,1
170,Do You Believe?,Fantasy,Drama,88,Você acredita?,California,3714010,314812,179,2015-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,100,0,0,0,0,0,0,99,65,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,6,0,1,2
171,Unbroken,Drama,War,89,Invencível,Universal,3696600,244644,123,2015-01-15,0,25,17,8,25,25,23,17,0,13,17,13,9,18,11,24,0,8,8,0,14,23,0,17,8,8,9,0,11,12,25,16,8,13,27,11,0,8,0,8,17,13,12,12,17,8,17,13,9,12,0,17,16,8,8,18,17,23,12,12,0,0,17,17,11,21,16,12,8,13,11,34,0,12,0,0,13,0,16,8,17,8,13,9,12,25,17,17,12,21,26,11,12,8,16,21,25,9,45,38,33,8,8,8,9,0,11,8,8,12,13,0,12,35,25,17,12,16,18,18,18,16,9,9,13,9,11,23,24,24,16,20,0,22,0,8,16,12,8,9,18,25,0,8,8,0,18,18,31,13,35,13,18,0,13,13,10,0,13,0,16,25,27,44,31,13,24,11,12,24,25,34,17,30,18,35,38,29,43,28,100,59,79,29,10,3,0,0,0,0,1
172,Demonic,Thriller,Horror,90,A casa dos mortos,Paris,3694610,303198,176,2015-12-02,36,81,83,13,26,26,13,21,37,100,26,32,20,13,28,54,38,40,13,25,19,33,35,27,26,18,12,13,20,25,81,19,12,38,21,56,0,36,19,12,13,19,27,74,50,40,25,25,0,40,68,55,13,37,25,25,27,17,45,25,31,50,19,20,34,44,13,18,0,19,13,51,60,25,24,24,12,13,43,52,49,49,12,24,20,17,44,19,25,12,12,13,26,47,34,12,37,24,19,41,42,25,12,12,12,13,16,59,18,12,12,0,13,48,33,12,12,24,0,0,16,25,24,0,12,19,13,26,67,26,61,12,18,51,49,24,18,18,24,12,19,16,41,12,30,24,25,40,25,0,38,12,29,12,13,16,65,24,0,12,24,26,16,49,12,18,48,18,21,33,17,29,21,21,23,12,47,48,41,24,12,9,70,46,20,19,8,4,1,3,1
173,Black Mass,Drama,Crime,91,Aliança do crime,Warner,3543570,220193,188,2015-12-11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,4,0,3,0,3,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,5,4,0,3,0,3,0,3,0,3,8,5,0,3,7,4,6,5,3,3,3,3,3,0,3,5,0,3,5,0,3,9,0,3,0,4,4,4,9,13,5,4,7,24,6,4,3,14,3,9,9,6,7,5,5,6,7,4,10,6,6,5,7,14,10,9,16,19,50,87,83,100,41,27,24,27,68,52,40,27,18,22,13,21,25,44,22,13,11,12,17,18,18,10,11,6,5,7,149,14,9,1,3,1,1,0,2,1
174,Run All Night,Action,Drama,92,Noite sem fim,Warner,3542730,281319,318,2015-04-30,0,0,5,5,14,5,5,7,7,5,7,0,5,0,14,20,0,0,0,5,0,0,6,7,0,5,0,5,0,0,5,0,9,5,10,7,0,0,0,5,0,0,0,7,0,10,0,5,11,0,8,5,6,0,0,6,0,0,6,6,0,0,0,21,0,0,5,0,0,0,7,0,0,9,0,0,5,0,0,0,5,5,0,0,7,7,0,7,5,5,5,0,0,0,9,0,0,5,6,0,0,5,5,10,5,7,0,0,7,5,0,15,6,7,0,5,5,0,0,6,0,5,0,0,5,0,0,9,7,0,0,5,10,6,6,14,7,5,0,5,6,6,5,5,0,0,0,7,13,9,5,5,0,7,17,13,5,5,5,7,10,6,6,5,11,11,19,25,10,17,18,14,16,25,22,37,32,35,45,46,100,155,16,4,3,2,0,0,0,0,1
175,Irrational Man,Drama,Mystery,93,Homem Irracional,Imagem,3439600,199951,72,2015-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,10,0,0,0,7,0,27,0,7,7,0,0,0,0,0,0,6,0,7,0,0,0,0,0,14,0,0,0,0,0,7,7,0,0,0,0,0,7,13,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,7,9,0,6,13,0,7,14,9,0,0,0,0,6,7,0,0,14,0,0,0,0,18,0,10,6,6,0,7,0,0,6,0,6,7,7,18,0,6,0,0,0,20,0,9,6,34,31,6,7,13,35,25,31,57,100,164,9,2,4,0,1,0,0,0,1
176,The Vatican Tapes,Thriller,Horror,94,Exorcistas do Vaticano,Diamond,3199710,257140,191,2015-08-20,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,5,5,0,0,10,5,5,0,5,0,0,0,26,12,0,5,6,7,5,5,10,5,11,7,0,5,9,0,0,5,11,26,13,10,14,0,0,10,17,14,12,5,12,15,29,14,5,5,14,17,5,7,10,7,14,14,7,5,22,20,28,34,97,100,157,16,5,1,0,0,0,0,0,2
177,The secret in their eyes,Crime,Drama,95,Olhos da justiça,Diamond,2997070,215625,304,2015-10-12,34,0,0,0,50,0,0,34,0,0,0,0,0,0,34,36,0,0,0,0,0,0,0,38,50,0,35,0,0,35,0,0,0,51,0,0,0,0,0,0,0,0,0,0,36,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,48,0,67,34,34,36,48,0,0,35,0,0,0,0,0,0,65,33,0,51,0,0,34,0,0,0,0,0,0,0,65,33,0,0,0,0,0,0,0,0,35,0,0,0,0,0,33,0,0,0,0,0,32,33,35,0,0,33,32,0,0,0,44,0,0,0,32,32,0,44,0,0,0,0,0,0,0,0,0,0,33,0,35,46,0,0,0,0,0,100,0,0,32,0,0,0,0,0,0,0,32,0,32,0,0,0,0,0,32,0,34,0,0,32,0,0,0,0,0,0,44,134,0,0,33,8,2,3,0,0,1
178,Danny Collins,Comedy,Drama,96,Não olhe para trás,Imagem,2885220,169421,127,2015-04-16,26,0,0,19,19,0,21,26,0,0,19,19,0,0,27,0,28,19,0,0,0,0,0,0,19,19,0,0,27,0,19,21,40,20,62,26,0,0,0,19,0,36,0,0,0,19,19,0,21,28,29,0,0,0,20,31,27,57,0,0,0,21,0,0,0,0,0,0,0,0,0,62,0,0,0,0,26,0,0,0,19,20,20,0,0,0,0,0,0,0,20,27,57,38,0,19,0,0,26,0,18,18,0,0,0,0,0,0,19,0,19,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,25,0,19,0,0,19,0,0,0,0,0,19,0,20,0,0,0,0,0,0,19,0,100,19,18,18,19,20,0,25,19,0,0,0,0,0,53,0,0,0,0,0,27,53,18,0,19,28,20,0,0,0,18,18,38,110,38,21,5,0,4,2,0,0,1
179,The Age of Adaline,Fantasy,Drama,97,A incrível história de Adaline,Diamond,2882040,189134,220,2015-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,8,9,0,11,11,8,8,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,9,12,0,0,8,8,8,0,0,0,0,0,0,0,8,0,0,12,0,10,8,8,26,11,12,8,8,17,9,12,30,18,25,16,8,9,32,12,36,8,8,8,21,13,11,18,21,33,21,100,154,17,6,3,0,0,0,0,0,1
180,Magic Mike XXL,Comedy,Drama,98,Magic Mike XXL,Warner,2749840,204557,209,2015-07-30,0,0,0,0,24,13,8,7,5,2,5,4,4,4,4,3,0,2,3,2,3,6,5,0,0,2,3,4,3,0,2,2,4,2,0,2,2,0,2,0,2,4,2,0,0,0,2,2,2,0,0,0,2,6,6,0,3,3,0,2,0,2,0,0,3,0,0,4,2,0,2,2,5,6,3,3,2,2,5,4,2,2,2,2,0,0,3,3,3,4,0,4,0,2,2,4,5,2,10,5,9,3,0,2,2,2,5,3,3,0,6,0,9,5,2,2,0,2,3,0,4,0,2,3,7,5,7,5,3,2,2,0,2,5,2,10,6,4,7,11,11,8,4,2,3,8,12,5,9,8,3,12,10,17,17,22,10,12,8,6,8,15,6,13,13,18,9,14,23,13,10,19,28,27,30,53,38,28,40,67,100,154,15,7,2,0,1,1,0,0,1
